CUX1	CUX1-1	RUNX1	chr_p	start_p	end_p	id_p	chr_g	start_g	end_g	symbol_g	score_g	strand_g	id_g	dist	Peak_ID	Gene_Name	Motif_Group
0.0	0.0	1.0	chr1	8422359	8424920	1367	chr1	8352403	8917640	RERE	0	-	31654	0.0	chr1_8422359_8424920	RERE	GRN_CUX1
1.0	1.0	0.0	chr1	8540240	8541496	1392	chr1	8352403	8917640	RERE	0	-	31654	0.0	chr1_8540240_8541496	RERE	GRN_CUX1
1.0	1.0	0.0	chr1	8571658	8571866	1400	chr1	8352403	8917640	RERE	0	-	31654	0.0	chr1_8571658_8571866	RERE	GRN_CUX1
0.0	0.0	1.0	chr1	8598091	8599152	1407	chr1	8352403	8917640	RERE	0	-	31654	0.0	chr1_8598091_8599152	RERE	GRN_CUX1
0.0	0.0	1.0	chr1	8625451	8627151	1413	chr1	8352403	8917640	RERE	0	-	31654	0.0	chr1_8625451_8627151	RERE	GRN_CUX1
0.0	0.0	1.0	chr1	8651333	8653050	1419	chr1	8352403	8917640	RERE	0	-	31654	0.0	chr1_8651333_8653050	RERE	GRN_CUX1
0.0	0.0	1.0	chr1	8665908	8666181	1422	chr1	8352403	8917640	RERE	0	-	31654	0.0	chr1_8665908_8666181	RERE	GRN_CUX1
0.0	0.0	1.0	chr1	8685518	8686118	1430	chr1	8352403	8917640	RERE	0	-	31654	0.0	chr1_8685518_8686118	RERE	GRN_CUX1
0.0	0.0	1.0	chr1	8700998	8701768	1436	chr1	8352403	8917640	RERE	0	-	31654	0.0	chr1_8700998_8701768	RERE	GRN_CUX1
0.0	0.0	1.0	chr1	8712094	8713029	1440	chr1	8352403	8917640	RERE	0	-	31654	0.0	chr1_8712094_8713029	RERE	GRN_CUX1
0.0	0.0	1.0	chr1	8802209	8802654	1462	chr1	8352403	8917640	RERE	0	-	31654	0.0	chr1_8802209_8802654	RERE	GRN_CUX1
0.0	0.0	1.0	chr1	8822381	8823093	1469	chr1	8352403	8917640	RERE	0	-	31654	0.0	chr1_8822381_8823093	RERE	GRN_CUX1
